BSTID;WOLKENID
A01LW;AL
A02WL;AL
A05LW;AL
A06WL;AL
AL;AL
ALD A;AL
ALD G;AL
ALKN;AL
ALR;AL
ALRA;AL
ALSK;AL
ALTG;AL
AWR;AL
A161M;AM
A162M;AM
A171R;AM
A172M;AM
AASN;AM
AM  N;AM
AM  O;AM
AM  S;AM
AM  W;AM
AMA;AM
AMD;AM
ASTE;AM
AROG;AROG
AXFW;AXFW
B  10;BBGN
B  12;BBGN
B  13;BBGN
B1083;BBGN
B1086;BBGN
B1087;BBGN
B1088;BBGN
B1089;BBGN
B1090;BBGN
B2083;BBGN
B2086;BBGN
B2087;BBGN
B2088;BBGN
B2089;BBGN
B2090;BBGN
B2123;BBGN
B6021;BBGN
B6022;BBGN
BAG O;BBGN
BAG S;BBGN
BAG W;BBGN
BASC;BBGN
BASS;BBGN
BBF;BBGN
BBGN;BBGN
BBGS;BBGN
BBSH;BBGN
BDDF;BBGN
BDT;BBGN
BGBW;BBGN
BGHO;BBGN
BGSBS;BBGN
BLF;BBGN
BABO;BBI
BBI;BBI
BBI N;BBI
BHOW;BBI
BSFW;BBI
YBBHN;BBI
B2915;BBIK
B2916;BBIK
B2925;BBIK
B2926;BBIK
BBIKL;BBIK
BBIKM;BBIK
BBIKO;BBIK
BBIKS;BBIK
BBIKV;BBIK
BBIKW;BBIK
BBKN;BBIK
BEG;BBIK
BEGN;BBIK
BFHG;BBIK
BKP;BBIK
BOG;BBIK
BSST;BBIK
BHG;BHG
BHR;BHG
BHRM;BHG
BMH;BHG
BSAE;BHG
BFP;BODK
BODK;BODK
BXF;BODK
B 802;BWP
B 803;BWP
B 913;BWP
B 916;BWP
B4013;BWP
B4023;BWP
B7317;BWP
B7319;BWP
B7324;BWP
B7326;BWP
B7713;BWP
B7722;BWP
BAWP;BWP
BCAP;BWP
BDW;BWP
BFLZ;BWP
BGBS;BWP
BGBSO;BWP
BGOL;BWP
BLIA;BWP
BMIP;BWP
BNES;BWP
BPD;BWP
BPDC;BWP
BPDP;BWP
BRC;BWP
BSAM;BWP
BSE;BWP
BSE B;BWP
BSE M;BWP
BSE N;BWP
BSE O;BWP
BSE W;BWP
BSIS;BWP
BSS;BWP
BSS O;BWP
BSS U;BWP
BSS W;BWP
BWE;BWP
BWHA;BWP
BWHO;BWP
BWP;BWP
BWP G;BWP
BWPO;BWP
BWPS;BWP
B9415;BWUS
BAFI;BWUS
BAWF;BWUS
BBRI;BWUS
BETN;BWUS
BFAH;BWUS
BHSL;BWUS
BPOT;BWUS
BWNG;BWUS
BWUN;BWUS
BWUR;BWUS
BWURO;BWUS
BWUS;BWUS
BWUSN;BWUS
DA;DF
DCTA;DF
DF;DF
DFS;DF
DH;DF
DM;DF
D1131;DGB
D1132;DGB
D1133;DGB
D1135;DGB
D1136;DGB
D1137;DGB
D1138;DGB
D1161;DGB
D1415;DGB
DGB;DGB
DGC;DGB
DKOT;DGB
DLEW;DGB
DPR;DGB
DKRP;DSA
DSA;DSA
DSO;DSA
DR;DZN
DR  R;DZN
DR  V;DZN
DRA;DZN
DRO;DZN
DRRW;DZN
DWU;DZN
DZN;DZN
DZNH;DZN
EA;EA
E3359;EEM
E3361;EEM
E3362;EEM
E3363;EEM
E3364;EEM
E3366;EEM
E3368;EEM
EEM;EEM
EXEM;EEM
E 992;EHGG
E 994;EHGG
E 995;EHGG
E 996;EHGG
E 997;EHGG
E 999;EHGG
E544N;EHGG
E565W;EHGG
E566V;EHGG
E5894;EHGG
E5895;EHGG
E972A;EHGG
E973A;EHGG
EEIN;EHGG
EHG;EHGG
EHGGB;EHGG
EHGGO;EHGG
EHGGW;EHGG
EHGK;EHGG
EHGS;EHGG
EHGV;EHGG
EHGVE;EHGG
EHGVF;EHGG
EHGVO;EHGG
EHGVS;EHGG
EHGVW;EHGG
EHOY;EHGG
EREH;EHGG
ERWH;EHGG
ESRT;EHGG
ESRTF;EHGG
EWEF;EHGG
E 243;EHRB
E 244;EHRB
E 245;EHRB
E 246;EHRB
E 270;EHRB
E 31M;EHRB
E 32B;EHRB
E 67;EHRB
E247U;EHRB
E248H;EHRB
E53B;EHRB
E546A;EHRB
E547H;EHRB
E54B;EHRB
EAU;EHRB
EFMK;EHRB
EGAB;EHRB
EHE;EHRB
EHE P;EHRB
EHM;EHRB
EHRBA;EHRB
EHRBD;EHRB
EHRBE;EHRB
EHRBM;EHRB
EHRBN;EHRB
EHRBO;EHRB
EHRBR;EHRB
EHRBS;EHRB
EHRBT;EHRB
EHRBW;EHRB
EHRBZ;EHRB
EHRI;EHRB
ERDB;EHRB
ESMG;EHRB
EKT G;EKT G
E 663;EOBR
E 664;EOBR
E111O;EOBR
E112O;EOBR
E116M;EOBR
E117W;EOBR
E662X;EOBR
E665Y;EOBR
EDMO;EOBR
EDOM;EOBR
EEDZ;EOBR
EGRA;EOBR
EMAF;EOBR
EOB;EOBR
EOB N;EOBR
EOB O;EOBR
EOBRB;EOBR
EOBRM;EOBR
EOBRO;EOBR
EOBRS;EOBR
EOBRW;EOBR
EOBRZ;EOBR
EOSD;EOBR
ERTL;EOBR
EWAZ;EOBR
ESIE;ESIG
ESIG;ESIG
ESW;ESIG
F181B;FB
FB;FB
FB  A;FB
FB  B;FB
FB  O;FB
FB  R;FB
FB  S;FB
FBLA;FB
FBU;FB
FFDF;FB
FLAE;FB
FME;FB
FRON;FB
F271A;FD
F284A;FD
F753A;FD
FBSN;FD
FD;FD
FD  G;FD
FDA;FD
FDK;FD
FDN;FD
FSTN;FD
F065C;FF
F066C;FF
F088B;FF
F089B;FF
F090B;FF
F091B;FF
F208A;FF
F209A;FF
F391A;FF
F596B;FF
F597B;FF
F598B;FF
F599B;FF
F693A;FF
F694A;FF
F842A;FF
F891B;FF
F946A;FF
FA156;FF
FF  H;FF
FFAU;FF
FFAW;FF
FFAWA;FF
FFGA;FF
FFME;FF
FFND;FF
FFO;FF
FFO G;FF
FFO U;FF
FFO V;FF
FFOR;FF
FFS;FF
FFS A;FF
FFT;FF
FFTA;FF
FFTGF;FF
FFW;FF
FFW A;FF
FGM;FF
FHAU;FF
FHOE;FF
FHOEA;FF
FHOEG;FF
FHOES;FF
FKON;FF
FKY;FF
FLBF;FF
FLS;FF
FMLA;FF
FMST;FF
FNI;FF
FNI S;FF
FNIS;FF
FNISA;FF
FOST;FF
FSHF;FF
FSP;FF
F088C;FFU
FFU;FFU
FFU B;FFU
FFU G;FFU
FFU N;FFU
FFU W;FFU
FGHF;FFU
FDTH;FGB
FG;FGB
FG  A;FGB
FG  B;FGB
FG  R;FGB
FGB;FGB
F715B;FH
F716A;FH
FC  A;FH
FGAU;FH
FGK;FH
FH  M;FH
FH  N;FH
FH  S;FH
FHN;FH
FHW;FH
FRW;FH
FWFG;FH
F188B;FKR
F189A;FKR
F191A;FKR
F192A;FKR
F198A;FKR
F199A;FKR
FIH;FKR
FKOA;FKR
FKR;FKR
FKR N;FKR
FKR S;FKR
FKR T;FKR
FKRB;FKR
FKW;FKR
FKWK;FKR
FKWNA;FKR
FKWNB;FKR
FNV;FKR
FOV;FKR
F011C;FMB
F012C;FMB
F013B;FMB
F014B;FMB
F171B;FMB
F172B;FMB
F176B;FMB
F179A;FMB
F182A;FMB
F519A;FMB
F718A;FMB
F719A;FMB
F720A;FMB
F721A;FMB
F753B;FMB
FA175;FMB
FA176;FMB
FHM;FMB
FKBW;FMB
FKBWO;FMB
FKOO;FMB
FKOS;FMB
FMB A;FMB
FMB M;FMB
FMB N;FMB
FMB O;FMB
FMB P;FMB
FMB W;FMB
FMG;FMB
FMK;FMB
FMM;FMB
FMN;FMB
FMS;FMB
FMWG;FMB
FMZ;FMB
FMZ A;FMB
FMZ G;FMB
FQKB;FMB
FQMS;FMB
FRUE;FMB
FRUO;FMB
FWB;FMB
FWB A;FMB
FWO;FMB
FWO A;FMB
FWO B;FMB
FWO G;FMB
H01AB;HA
HA;HA
HAAK;HA
HAAT;HA
HBUK;HA
HLAN;HA
YDFAB;HA
HBHP;HBHP
H175B;HBR
H176V;HBR
H183S;HBR
H184B;HBR
H185B;HBR
H186B;HBR
H193B;HBR
H194H;HBR
H195B;HBR
H196H;HBR
H201B;HBR
H203B;HBR
H204B;HBR
H205B;HBR
H206B;HBR
H208B;HBR
H302B;HBR
H304B;HBR
H957U;HBR
H974U;HBR
HB;HBR
HB  W;HBR
HBN;HBR
HBR A;HBR
HBR E;HBR
HBR F;HBR
HBR L;HBR
HBR M;HBR
HBR P;HBR
HBR W;HBR
HBSB;HBR
HBWA;HBR
HHAT;HBR
HUTB;HBR
HVAH;HBR
H2801;HBS
H2807;HBS
H2812;HBS
H2814;HBS
H2818;HBS
H2820;HBS
H2823;HBS
H2824;HBS
H3316;HBS
HBS;HBS
HBSR;HBS
HBUH;HBS
HGAA;HBS
HGGL;HBS
HGGLO;HBS
HLNT;HBS
HOKB;HBS
HSMK;HBS
HWEA;HBS
HWED;HBS
HXB;HBTH
HEBG;HEBG
HEBGN;HEBG
HEBGO;HEBG
HESW;HEBG
HE;HER
HEA;HER
HER;HER
HEVA;HER
HEVG;HER
HEVW;HER
HF;HF
HSF;HF
HWOB;HF
H626N;HG
HG;HG
HG  G;HG
HG  N;HG
HGRN;HG
HSIK;HG
H5142;HHI
H5143;HHI
H5146;HHI
H5149;HHI
H5150;HHI
H5542;HHI
H5543;HHI
H5548;HHI
H5549;HHI
H5550;HHI
H5551;HHI
HBNT;HHI
HEMK;HHI
HHI;HHI
HHI G;HHI
HHTA;HHI
HNOS;HHI
HROS;HHI
HSOR;HHI
HLER;HLER
HLERN;HLER
HLERW;HLER
H643B;HLI
H873W;HLI
H875L;HLI
H882L;HLI
H883W;HLI
H884L;HLI
H885L;HLI
H894L;HLI
HEMA;HLI
HHBO;HLI
HHML;HLI
HLI;HLI
HLI R;HLI
HWHN;HLI
HWU;HLI
HHRN;HO
HLRI;HO
HO  N;HO
HO  O;HO
HO  S;HO
HO  U;HO
HOHT;HO
HOR O;HO
HOR S;HO
HORP;HO
HSTA;HO
HSR;HSR
HSR O;HSR
HSR W;HSR
HU;HU
HU  G;HU
E002A;KAW
