"STA";"SEL";"ID_F1";"TZF_F1";"NUM_TFZ_F1";"TOTALWEIGHT_F1";"VMAX_F1";"BREAKCLASS_F1";"BrH_F1";"LZB_F1";"T10WithI_F1";"ID_F2";"TZF_F2";"NUM_TFZ_F2";"TOTALWEIGHT_F2";"VMAX_F2";"BREAKCLASS_F2";"BrH_F2";"LZB_F2";"T10WithI_F2";"ID_F3";"TZF_F3";"NUM_TFZ_F3";"TOTALWEIGHT_F3";"VMAX_F3";"BREAKCLASS_F3";"BrH_F3";"LZB_F3";"T10WithI_F3"
"001";"5202#2117";5202;"182-1";1;1700;100;"P";65;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";58;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"005";"5202#2113";5202;"182-1";1;1700;100;"P";56;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";64;"FALSE";704,806231832803;"";"";"";"";"";"";"";"";""
"015";"23122#24927";23122;"155-1";1;2600;80;"P";56;"FALSE";937,455538767808;24927;"185-2";1;2700;90;"G";57;"FALSE";953,49977981183;"";"";"";"";"";"";"";"";""
"017";"5202#2117";5202;"182-1";1;1700;100;"P";68;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";46;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"019";"5202#2117";5202;"182-1";1;1700;100;"P";67;"FALSE";530,409922745475;2117;"145-2";1;2700;80;"G";56;"FALSE";776,295597576302;"";"";"";"";"";"";"";"";""
"021";"40204#48181";40204;"145-2";1;2000;90;"G";65;"FALSE";697,097735940464;48181;"250-1";1;3200;80;"G";54;"FALSE";1366,39096776331;"";"";"";"";"";"";"";"";""
"031";"3757#5870";3757;"152-3";1;1600;100;"P";63;"FALSE";517,588173854945;5870;"185-2";1;2200;80;"P";62;"FALSE";637,162744175789;"";"";"";"";"";"";"";"";""
"033";"5903#12790";5903;"185-2";1;2700;90;"G";56;"FALSE";757,787618871894;12790;"295-1";1;1000;50;"P";45;"FALSE";1228,32007592459;"";"";"";"";"";"";"";"";""
"035";"13698#5904";13698;"4370-1";1;2000;90;"P";65;"TRUE";617,846846343841;5904;"185-2";1;2800;90;"G";56;"TRUE";790,39426419961;"";"";"";"";"";"";"";"";""
"037";"5202#2113#1273";5202;"182-1";1;1700;100;"P";70;"FALSE";530,409922745475;2113;"145-2";1;2300;80;"G";60;"FALSE";704,806231832803;"1273";"140-1";"1";"2100";"50";"G";"56";"FALSE";"1027.07870480148"
